update,global_step,sps,mean_episodic_reward
1,5120,700,126.6
2,10240,721,115.8
3,15360,730,106.4
4,20480,735,116.2
5,25600,737,112.8
6,30720,739,111.8
7,35840,740,98.2
8,40960,741,112.0
9,46080,744,107.16666666666667
10,51200,745,116.6
11,56320,746,110.4
12,61440,746,108.4
13,66560,746,114.2
14,71680,745,107.2
15,76800,745,118.8
16,81920,745,113.8
17,87040,745,100.16666666666667
18,92160,744,103.0
19,97280,744,109.8
20,102400,744,115.6
21,107520,744,113.8
22,112640,744,116.6
23,117760,744,103.2
24,122880,744,124.0
25,128000,744,85.83333333333333
26,133120,744,117.0
27,138240,744,98.0
28,143360,744,117.6
29,148480,744,114.2
30,153600,744,105.6
31,158720,744,116.0
32,163840,744,100.6
33,168960,744,107.6
34,174080,743,98.33333333333333
35,179200,743,117.2
36,184320,743,111.4
37,189440,743,107.8
38,194560,743,110.2
39,199680,743,116.2
40,204800,743,104.4
41,209920,743,114.8
42,215040,743,96.5
43,220160,744,117.4
44,225280,744,110.8
45,230400,743,105.0
46,235520,743,114.0
47,240640,743,113.0
48,245760,743,110.0
49,250880,743,105.2
50,256000,743,91.83333333333333
51,261120,744,112.4
52,266240,744,103.4
53,271360,744,115.0
54,276480,744,103.6
55,281600,744,110.8
56,286720,745,106.4
57,291840,745,117.4
58,296960,745,107.6
59,302080,745,100.66666666666667
60,307200,745,109.6
61,312320,745,110.4
62,317440,745,115.8
63,322560,745,112.4
64,327680,745,115.2
65,332800,744,113.8
66,337920,744,113.2
67,343040,744,97.33333333333333
68,348160,744,112.4
69,353280,744,109.8
70,358400,744,112.8
71,363520,743,96.4
72,368640,743,113.0
73,373760,743,100.8
74,378880,743,115.2
75,384000,742,91.5
76,389120,742,129.8
77,394240,742,115.6
78,399360,742,97.6
79,404480,742,111.6
80,409600,742,105.0
81,414720,742,110.6
82,419840,743,106.4
83,424960,743,104.2
84,430080,743,115.0
85,435200,743,114.0
86,440320,743,109.2
87,445440,743,109.0
88,450560,743,120.4
89,455680,743,109.8
90,460800,743,112.0
91,465920,744,105.8
92,471040,744,107.83333333333333
93,476160,744,117.4
94,481280,744,114.6
95,486400,744,108.2
96,491520,744,111.2
97,496640,744,109.6
98,501760,744,109.2
99,506880,744,111.4
100,512000,744,97.66666666666667
101,517120,744,132.4
102,522240,744,112.0
103,527360,745,110.0
104,532480,745,111.4
105,537600,745,116.2
106,542720,745,100.0
107,547840,745,97.6
108,552960,745,110.0
