update,global_step,sps,mean_episodic_reward,policy_loss,value_loss,entropy_loss
1,2048,688,62.5,-0.985802173614502,12.37635612487793,1.488628625869751
2,4096,772,53.5,-0.39721807837486267,3.747971534729004,1.4561488628387451
3,6144,805,57.2,-0.2544524669647217,1.4051017761230469,1.3937311172485352
4,8192,822,58.0,0.15200600028038025,2.555954933166504,1.4737772941589355
5,10240,833,55.27272727272727,0.12438922375440598,1.8127238750457764,1.569217562675476
6,12288,833,51.9,0.20375995337963104,0.5647464394569397,1.5532774925231934
7,14336,825,54.2,0.0926794558763504,1.4934769868850708,1.545295000076294
8,16384,821,52.4,0.08744223415851593,0.9400384426116943,1.5534045696258545
9,18432,828,56.36363636363637,-0.04342824965715408,1.294684886932373,1.5453680753707886
10,20480,833,55.3,-0.09763111174106598,0.7917035818099976,1.5227646827697754
11,22528,838,52.9,0.1973685324192047,0.7436383962631226,1.548776626586914
12,24576,842,51.2,0.13238433003425598,1.9827969074249268,1.5496163368225098
13,26624,846,54.27272727272727,0.22534805536270142,0.861230194568634,1.5855021476745605
14,28672,850,54.1,-0.09198746085166931,0.8685707449913025,1.6416351795196533
15,30720,852,49.9,0.3675810694694519,0.7319208383560181,1.7007663249969482
16,32768,855,56.2,0.028945282101631165,0.792768657207489,1.781678318977356
17,34816,857,56.45454545454545,-0.02356216125190258,0.7526704668998718,1.7759180068969727
18,36864,859,54.0,0.1996535360813141,0.5246636271476746,1.7868068218231201
19,38912,861,51.2,0.04905565828084946,0.7359668016433716,1.800684928894043
20,40960,862,57.0,0.0014793593436479568,0.5097876787185669,1.7782106399536133
21,43008,863,54.63636363636363,0.027490252628922462,1.0831512212753296,1.7438733577728271
22,45056,865,59.8,0.03545702248811722,0.42897146940231323,1.7951111793518066
23,47104,866,52.9,-0.022428086027503014,1.2120906114578247,1.8006439208984375
24,49152,867,50.3,0.07503283023834229,0.9059637784957886,1.8507616519927979
25,51200,868,54.1,-0.2979734539985657,3.641073226928711,1.6305252313613892
26,53248,869,56.63636363636363,-0.06579792499542236,0.8276872634887695,1.5463677644729614
27,55296,869,49.1,0.29579752683639526,1.1270442008972168,1.7776763439178467
28,57344,870,53.1,0.25053220987319946,0.9177390336990356,1.850710391998291
29,59392,870,48.8,0.05107525736093521,1.1963872909545898,1.9073354005813599
30,61440,871,54.81818181818182,-0.09790974855422974,0.6702159643173218,1.907067060470581
31,63488,872,58.5,0.024736523628234863,0.47702455520629883,1.9599066972732544
32,65536,872,57.1,0.14700794219970703,0.554561197757721,1.987278699874878
33,67584,873,53.4,0.1457161158323288,0.312466561794281,2.058253288269043
34,69632,873,51.90909090909091,0.14464294910430908,0.5854514837265015,2.0209572315216064
35,71680,874,53.7,-0.09990755468606949,0.8577309846878052,2.0359597206115723
36,73728,874,52.9,0.23004363477230072,1.2408299446105957,2.0244522094726562
37,75776,875,61.2,-0.019862569868564606,0.5822740793228149,2.061556339263916
38,77824,875,52.45454545454545,0.11069077253341675,0.619795560836792,2.052882671356201
39,79872,875,53.1,0.09630287438631058,1.1047072410583496,2.0700459480285645
40,81920,876,60.0,-0.030409082770347595,0.3144594430923462,2.076556444168091
41,83968,876,64.6,-0.1663345992565155,0.3725135922431946,2.0451016426086426
42,86016,876,54.90909090909091,0.09535109251737595,0.26034781336784363,2.0845789909362793
43,88064,877,48.0,-0.0723755806684494,1.1772003173828125,2.1207847595214844
44,90112,877,59.7,-0.13742807507514954,0.5486288070678711,2.124551773071289
45,92160,877,52.8,-0.05781543254852295,0.34982118010520935,2.11822509765625
46,94208,878,54.36363636363637,0.1269417405128479,0.391301691532135,2.1474900245666504
47,96256,878,54.8,-0.15756107866764069,0.49117010831832886,2.119636297225952
48,98304,878,51.1,0.07131164520978928,0.24175068736076355,2.202603816986084
49,100352,878,53.6,-0.0008699893951416016,0.30278587341308594,2.225545883178711
50,102400,879,59.1,-0.5655537843704224,12.388346672058105,2.0209603309631348
51,104448,879,57.18181818181818,0.09191760420799255,1.27323579788208,2.0278937816619873
52,106496,879,56.5,0.04785041883587837,0.5818697214126587,2.069803237915039
53,108544,879,53.5,-0.083419069647789,0.8426763415336609,2.1233458518981934
54,110592,880,54.5,0.14293788373470306,0.4205806255340576,2.1536197662353516
55,112640,880,53.90909090909091,0.10243363678455353,0.32268017530441284,2.1965017318725586
56,114688,880,56.4,0.06269191205501556,0.40888556838035583,2.2090206146240234
57,116736,880,56.9,0.023586660623550415,0.36382055282592773,2.2119767665863037
