update,global_step,sps,mean_episodic_reward
1,10240,2829,51.3
2,20480,3190,59.8
3,30720,3343,59.4
4,40960,3420,56.7
5,51200,3473,56.81818181818182
6,61440,3506,61.2
7,71680,3516,59.6
8,81920,3508,63.4
9,92160,3507,62.90909090909091
10,102400,3508,66.8
11,112640,3510,66.7
12,122880,3513,67.1
13,133120,3517,65.18181818181819
14,143360,3517,70.8
15,153600,3520,72.2
16,163840,3523,74.6
17,174080,3523,64.81818181818181
18,184320,3522,78.1
19,194560,3520,87.8
20,204800,3522,64.0
21,215040,3525,72.63636363636364
22,225280,3519,81.4
23,235520,3521,81.8
24,245760,3523,91.4
25,256000,3524,73.63636363636364
26,266240,3525,104.7
27,276480,3526,89.4
28,286720,3527,83.8
29,296960,3528,87.1
30,307200,3529,86.18181818181819
31,317440,3529,80.3
32,327680,3531,98.2
33,337920,3532,76.5
34,348160,3534,83.9090909090909
35,358400,3534,110.3
36,368640,3536,82.3
37,378880,3537,81.0
38,389120,3537,83.9090909090909
39,399360,3537,99.7
40,409600,3539,100.7
41,419840,3541,97.6
42,430080,3541,78.18181818181819
43,440320,3543,106.9
44,450560,3544,97.7
45,460800,3545,97.9
46,471040,3547,93.45454545454545
47,481280,3545,119.0
48,491520,3547,103.6
49,501760,3548,94.5
50,512000,3549,94.9090909090909
51,522240,3551,114.0
52,532480,3553,107.0
53,542720,3555,104.6
54,552960,3557,105.4
55,563200,3559,100.0
56,573440,3560,96.2
57,583680,3561,96.7
58,593920,3562,106.1
59,604160,3563,106.81818181818181
60,614400,3564,107.4
61,624640,3566,106.2
62,634880,3570,104.3
63,645120,3574,100.63636363636364
64,655360,3578,111.3
65,665600,3581,106.1
66,675840,3585,107.6
67,686080,3588,103.54545454545455
68,696320,3592,115.1
69,706560,3595,106.0
70,716800,3597,104.6
71,727040,3598,106.54545454545455
72,737280,3597,111.3
73,747520,3599,109.3
74,757760,3601,109.5
75,768000,3603,100.0
76,778240,3605,115.0
77,788480,3607,106.5
78,798720,3608,107.7
79,808960,3609,111.5
80,819200,3609,106.45454545454545
81,829440,3608,107.8
82,839680,3608,105.3
83,849920,3607,111.4
84,860160,3606,102.72727272727273
85,870400,3606,107.0
86,880640,3606,111.2
87,890880,3605,105.6
88,901120,3605,116.45454545454545
89,911360,3604,109.5
90,921600,3604,97.9
91,931840,3604,103.5
92,942080,3604,107.36363636363636
93,952320,3603,115.0
94,962560,3603,105.7
95,972800,3603,106.7
96,983040,3603,102.0909090909091
97,993280,3603,124.2
98,1003520,3603,111.8
99,1013760,3602,101.2
100,1024000,3602,89.81818181818181
101,1034240,3602,115.0
102,1044480,3602,111.2
103,1054720,3602,106.6
104,1064960,3603,108.7
105,1075200,3603,114.0
106,1085440,3603,93.8
107,1095680,3604,105.5
108,1105920,3604,108.4
109,1116160,3605,103.27272727272727
110,1126400,3605,110.3
111,1136640,3605,102.3
112,1146880,3606,110.1
113,1157120,3607,102.81818181818181
114,1167360,3607,109.7
115,1177600,3607,112.1
116,1187840,3608,109.4
117,1198080,3608,104.54545454545455
118,1208320,3606,112.1
119,1218560,3607,106.3
120,1228800,3608,110.9
121,1239040,3608,104.54545454545455
122,1249280,3609,106.5
123,1259520,3610,113.3
124,1269760,3611,117.0
125,1280000,3611,100.54545454545455
126,1290240,3612,115.9
127,1300480,3613,109.7
128,1310720,3613,124.3
129,1320960,3614,110.3
130,1331200,3615,106.9090909090909
131,1341440,3616,112.2
132,1351680,3616,109.5
133,1361920,3617,108.4
134,1372160,3618,111.45454545454545
135,1382400,3619,108.9
136,1392640,3619,111.2
137,1402880,3620,109.2
138,1413120,3621,104.63636363636364
139,1423360,3622,105.7
140,1433600,3623,113.7
141,1443840,3623,109.4
142,1454080,3624,107.27272727272727
143,1464320,3625,114.1
144,1474560,3625,109.8
145,1484800,3626,107.6
146,1495040,3627,104.54545454545455
147,1505280,3627,109.8
148,1515520,3627,111.1
149,1525760,3628,105.5
150,1536000,3629,103.9090909090909
151,1546240,3629,122.2
152,1556480,3629,111.2
153,1566720,3629,110.6
154,1576960,3629,109.6
155,1587200,3628,109.9090909090909
156,1597440,3628,112.4
157,1607680,3628,107.2
158,1617920,3628,109.0
159,1628160,3628,107.0909090909091
160,1638400,3627,114.4
161,1648640,3627,106.1
162,1658880,3627,109.2
163,1669120,3627,112.72727272727273
164,1679360,3626,114.8
165,1689600,3626,106.3
166,1699840,3627,113.3
167,1710080,3627,106.63636363636364
168,1720320,3627,105.7
169,1730560,3626,109.1
170,1740800,3626,106.3
171,1751040,3626,99.0
172,1761280,3626,117.2
173,1771520,3626,106.3
174,1781760,3626,113.9
175,1792000,3626,96.54545454545455
176,1802240,3626,117.8
177,1812480,3625,106.8
178,1822720,3625,106.4
179,1832960,3625,113.2
180,1843200,3626,109.18181818181819
181,1853440,3627,110.2
182,1863680,3627,107.9
183,1873920,3628,106.4
184,1884160,3629,107.36363636363636
185,1894400,3629,105.8
186,1904640,3629,115.0
187,1914880,3629,112.1
188,1925120,3629,106.36363636363636
189,1935360,3629,106.6
190,1945600,3629,113.8
191,1955840,3629,117.6
192,1966080,3630,102.63636363636364
193,1976320,3629,122.5
194,1986560,3629,112.5
195,1996800,3629,107.6
