update,global_step,sps,mean_episodic_reward
1,10240,2901,67.1
2,20480,3195,70.2
3,30720,3314,65.8
4,40960,3378,64.9
5,51200,3424,61.0
6,61440,3455,78.2
7,71680,3475,71.2
8,81920,3487,62.7
9,92160,3495,62.27272727272727
10,102400,3500,63.5
11,112640,3506,74.1
12,122880,3511,62.4
13,133120,3516,68.54545454545455
14,143360,3522,75.4
15,153600,3526,72.5
16,163840,3529,67.1
17,174080,3533,84.36363636363636
18,184320,3533,76.2
19,194560,3537,80.1
20,204800,3540,80.8
21,215040,3544,83.0909090909091
22,225280,3547,99.6
23,235520,3548,85.3
24,245760,3549,77.4
25,256000,3552,85.81818181818181
26,266240,3554,84.5
27,276480,3556,85.0
28,286720,3557,91.4
29,296960,3559,86.2
30,307200,3562,95.0
31,317440,3564,90.3
32,327680,3565,102.4
33,337920,3566,75.3
34,348160,3568,88.36363636363636
35,358400,3569,93.8
36,368640,3571,101.5
37,378880,3573,111.8
38,389120,3573,96.63636363636364
39,399360,3575,113.5
40,409600,3577,101.9
41,419840,3578,109.3
42,430080,3579,95.9090909090909
43,440320,3581,100.0
44,450560,3583,110.9
45,460800,3585,112.4
46,471040,3585,100.63636363636364
47,481280,3587,109.6
48,491520,3590,102.6
49,501760,3595,112.9
50,512000,3599,96.9090909090909
51,522240,3603,111.6
52,532480,3607,103.7
53,542720,3610,108.0
54,552960,3614,106.4
55,563200,3616,100.9090909090909
56,573440,3620,114.2
57,583680,3622,110.9
58,593920,3624,111.8
59,604160,3627,107.45454545454545
60,614400,3630,109.2
61,624640,3632,104.8
62,634880,3632,104.3
63,645120,3633,115.45454545454545
64,655360,3629,115.5
65,665600,3629,109.7
66,675840,3630,108.9
67,686080,3629,109.63636363636364
68,696320,3631,110.0
69,706560,3631,113.2
70,716800,3632,106.0
71,727040,3633,112.27272727272727
72,737280,3634,113.4
73,747520,3635,111.0
74,757760,3636,109.0
75,768000,3638,99.81818181818181
76,778240,3640,113.8
77,788480,3641,107.7
78,798720,3642,109.6
79,808960,3641,113.1
80,819200,3641,107.54545454545455
81,829440,3641,120.1
82,839680,3641,102.7
83,849920,3641,102.3
84,860160,3642,103.0
85,870400,3642,114.0
86,880640,3643,106.1
87,890880,3644,113.0
88,901120,3644,102.0909090909091
89,911360,3644,105.1
90,921600,3643,110.3
91,931840,3643,96.7
92,942080,3643,102.0909090909091
93,952320,3642,113.3
94,962560,3641,106.1
95,972800,3641,106.3
96,983040,3640,109.0909090909091
97,993280,3640,115.3
98,1003520,3639,92.9
99,1013760,3639,112.1
100,1024000,3639,94.81818181818181
101,1034240,3639,117.3
102,1044480,3639,111.5
103,1054720,3639,112.1
104,1064960,3639,114.6
105,1075200,3640,110.36363636363636
106,1085440,3641,101.6
107,1095680,3642,110.2
108,1105920,3643,105.8
109,1116160,3644,103.72727272727273
110,1126400,3645,111.1
111,1136640,3646,108.4
112,1146880,3647,113.4
113,1157120,3648,108.0
114,1167360,3649,112.3
115,1177600,3650,108.1
116,1187840,3651,111.9
117,1198080,3652,108.9090909090909
118,1208320,3653,113.7
119,1218560,3654,101.3
120,1228800,3654,111.4
121,1239040,3655,104.0
122,1249280,3656,113.1
123,1259520,3657,102.0
124,1269760,3657,113.2
125,1280000,3658,105.36363636363636
126,1290240,3659,112.6
127,1300480,3660,110.6
128,1310720,3661,106.4
129,1320960,3662,107.7
130,1331200,3663,110.36363636363636
131,1341440,3663,107.7
132,1351680,3664,103.3
133,1361920,3665,113.4
134,1372160,3665,109.63636363636364
135,1382400,3666,101.6
136,1392640,3667,109.7
137,1402880,3667,108.5
138,1413120,3668,109.0909090909091
139,1423360,3669,109.4
140,1433600,3669,103.0
141,1443840,3670,109.8
142,1454080,3671,107.18181818181819
143,1464320,3672,116.4
144,1474560,3672,115.9
145,1484800,3672,107.6
146,1495040,3672,101.9090909090909
147,1505280,3672,110.3
148,1515520,3671,110.9
149,1525760,3671,113.1
150,1536000,3670,99.45454545454545
151,1546240,3669,117.7
152,1556480,3669,105.8
153,1566720,3668,113.7
154,1576960,3667,112.7
155,1587200,3667,109.54545454545455
156,1597440,3667,101.6
157,1607680,3668,111.6
158,1617920,3669,109.7
159,1628160,3670,103.0909090909091
160,1638400,3670,115.6
161,1648640,3671,111.5
162,1658880,3672,109.4
163,1669120,3673,113.18181818181819
164,1679360,3673,116.5
165,1689600,3674,113.4
166,1699840,3675,101.6
167,1710080,3670,108.9090909090909
168,1720320,3665,110.8
169,1730560,3660,108.2
170,1740800,3660,108.5
171,1751040,3659,106.36363636363636
172,1761280,3659,115.6
173,1771520,3658,110.6
174,1781760,3658,107.4
175,1792000,3658,104.27272727272727
176,1802240,3653,120.7
177,1812480,3648,104.9
178,1822720,3648,106.3
179,1832960,3648,103.3
180,1843200,3648,104.9090909090909
181,1853440,3648,121.7
182,1863680,3649,114.1
183,1873920,3649,111.8
184,1884160,3649,112.63636363636364
185,1894400,3650,109.3
186,1904640,3650,113.8
187,1914880,3651,105.6
188,1925120,3651,108.0
189,1935360,3652,116.5
190,1945600,3652,105.1
191,1955840,3652,105.3
192,1966080,3653,107.27272727272727
193,1976320,3653,106.6
194,1986560,3653,110.4
195,1996800,3654,113.3
