update,global_step,sps,mean_episodic_reward
1,5120,700,130.6
2,10240,705,119.0
3,15360,707,105.6
4,20480,716,118.6
5,25600,721,112.0
6,30720,724,110.2
7,35840,726,101.8
8,40960,727,109.2
9,46080,729,108.66666666666667
10,51200,730,124.0
11,56320,730,113.4
12,61440,731,113.2
13,66560,731,103.4
14,71680,733,111.2
15,76800,734,118.2
16,81920,736,120.4
17,87040,738,105.66666666666667
18,92160,739,102.8
19,97280,740,111.4
20,102400,739,114.0
21,107520,739,112.4
22,112640,740,103.0
23,117760,742,109.2
24,122880,741,111.6
25,128000,739,90.0
26,133120,736,125.8
27,138240,735,101.0
28,143360,734,116.4
29,148480,732,110.8
30,153600,731,118.2
31,158720,730,108.6
32,163840,729,112.8
33,168960,728,115.8
34,174080,729,87.5
35,179200,730,113.6
36,184320,729,109.6
37,189440,729,115.4
38,194560,729,105.6
39,199680,728,123.8
40,204800,728,112.2
41,209920,728,103.2
42,215040,727,100.0
43,220160,727,93.0
44,225280,728,114.8
45,230400,728,114.6
46,235520,728,109.6
47,240640,728,110.6
48,245760,728,103.8
49,250880,728,113.6
50,256000,729,92.0
51,261120,729,131.0
52,266240,730,109.4
53,271360,730,109.8
54,276480,731,97.2
55,281600,731,115.6
56,286720,732,106.8
57,291840,733,104.8
58,296960,733,111.0
59,302080,734,94.16666666666667
60,307200,734,114.4
61,312320,734,118.2
62,317440,735,102.0
63,322560,735,106.4
64,327680,736,108.4
65,332800,736,108.4
66,337920,736,105.4
67,343040,736,101.0
68,348160,737,103.2
69,353280,737,109.2
70,358400,736,113.4
71,363520,736,112.8
72,368640,735,109.8
73,373760,734,101.6
74,378880,733,109.6
75,384000,733,98.5
76,389120,733,136.4
77,394240,733,108.2
78,399360,733,107.6
79,404480,733,102.2
80,409600,733,114.0
81,414720,733,108.2
82,419840,733,107.2
83,424960,733,110.0
84,430080,733,107.66666666666667
85,435200,733,118.4
86,440320,733,98.0
87,445440,733,106.2
88,450560,733,114.4
89,455680,733,102.4
90,460800,733,107.6
91,465920,733,99.4
92,471040,733,99.5
93,476160,733,113.6
94,481280,733,112.2
95,486400,732,116.0
96,491520,732,111.6
97,496640,732,113.8
98,501760,732,112.0
99,506880,732,114.6
100,512000,732,93.0
101,517120,732,112.8
102,522240,732,119.6
103,527360,732,110.6
104,532480,732,107.0
105,537600,732,91.4
106,542720,732,118.8
107,547840,732,116.4
108,552960,732,110.2
109,558080,732,106.33333333333333
110,563200,732,111.4
111,568320,732,97.8
112,573440,732,111.0
113,578560,732,99.2
114,583680,732,100.0
115,588800,732,115.8
116,593920,732,96.6
117,599040,732,105.83333333333333
118,604160,732,123.2
119,609280,732,115.2
120,614400,732,107.0
121,619520,732,104.4
122,624640,732,113.6
123,629760,732,122.4
124,634880,732,115.6
125,640000,732,95.33333333333333
126,645120,732,129.0
127,650240,732,107.8
128,655360,732,108.2
129,660480,732,102.8
130,665600,732,121.2
131,670720,732,103.8
132,675840,732,110.6
133,680960,732,120.4
134,686080,732,110.0
135,691200,732,107.8
136,696320,732,111.2
137,701440,732,112.8
138,706560,733,118.2
139,711680,733,117.4
140,716800,733,111.2
141,721920,733,113.8
142,727040,733,111.33333333333333
143,732160,733,109.4
144,737280,733,107.0
145,742400,734,109.8
146,747520,734,101.4
147,752640,734,112.8
148,757760,734,99.0
149,762880,734,110.8
150,768000,734,89.5
151,773120,734,128.8
152,778240,735,111.8
153,783360,735,117.4
154,788480,735,112.2
155,793600,735,106.0
156,798720,735,99.0
157,803840,735,115.2
158,808960,735,108.6
159,814080,735,103.5
160,819200,736,112.8
161,824320,736,111.2
162,829440,736,98.0
163,834560,736,111.2
164,839680,736,103.8
165,844800,736,106.6
166,849920,736,110.6
167,855040,736,104.16666666666667
168,860160,736,113.2
169,865280,736,113.2
170,870400,736,104.6
171,875520,737,113.8
172,880640,737,119.4
