update,global_step,sps,mean_episodic_reward,policy_loss,value_loss,entropy_loss
77,157696,842,52.2,0.14889639616012573,0.18810121715068817,2.058572769165039
78,159744,842,56.1,0.25589680671691895,0.2858430743217468,2.0822010040283203
79,161792,842,57.7,0.10231949388980865,0.19491983950138092,2.089676856994629
80,163840,842,58.81818181818182,0.120897576212883,0.21416406333446503,2.082083225250244
81,165888,842,59.2,0.06364310532808304,0.3194199800491333,2.079040050506592
82,167936,842,53.5,0.2551652491092682,0.29646217823028564,2.096493721008301
83,169984,842,52.2,0.03947677090764046,0.23874235153198242,2.1368656158447266
84,172032,842,56.0,0.16442763805389404,0.3323782980442047,2.1476101875305176
85,174080,842,56.6,0.05851105973124504,0.3199191689491272,2.141497850418091
86,176128,842,53.5,0.17038361728191376,0.1524345576763153,2.105441093444824
87,178176,843,61.4,0.08426059037446976,0.24812942743301392,2.1147103309631348
88,180224,843,59.36363636363637,0.13009220361709595,0.1991550326347351,2.086031436920166
89,182272,843,55.2,0.06365592777729034,0.3174262046813965,2.0951921939849854
90,184320,843,56.0,0.053055569529533386,0.11289500445127487,2.1071159839630127
91,186368,843,58.1,0.18885019421577454,0.16860660910606384,2.109017848968506
92,188416,843,57.18181818181818,0.0021765530109405518,0.2030879557132721,2.155128002166748
93,190464,843,57.7,0.04546911269426346,0.2176220864057541,2.1706223487854004
94,192512,844,54.1,0.1981666535139084,0.32143932580947876,2.164015769958496
95,194560,844,56.9,0.05538247525691986,0.12350216507911682,2.2088589668273926
96,196608,844,56.36363636363637,0.048586998134851456,0.23166242241859436,2.196843147277832
97,198656,844,56.2,0.09525488317012787,0.24956992268562317,2.1946933269500732
98,200704,844,54.5,0.03304087743163109,0.19047388434410095,2.195375919342041
99,202752,844,56.8,0.07928304374217987,0.17662006616592407,2.210893154144287
100,204800,844,62.6,-0.35155153274536133,5.959414482116699,2.129896640777588
101,206848,844,49.36363636363637,0.21293848752975464,0.3067130148410797,2.14530086517334
102,208896,845,58.6,0.15587817132472992,0.32057327032089233,2.120511054992676
103,210944,845,55.5,0.1620103120803833,0.12386702001094818,2.087747573852539
104,212992,845,61.9,0.059610720723867416,0.08645845949649811,2.1386828422546387
105,215040,845,53.90909090909091,0.11621688306331635,0.13810142874717712,2.133986711502075
106,217088,845,55.6,0.07419918477535248,0.21362119913101196,2.1412558555603027
107,219136,845,56.6,0.07134310156106949,0.13771621882915497,2.173201084136963
108,221184,845,55.9,0.1300404965877533,0.10997879505157471,2.1991729736328125
109,223232,846,51.09090909090909,0.1287122368812561,0.16812705993652344,2.173184871673584
110,225280,846,53.6,0.03816157206892967,0.13024674355983734,2.200258493423462
111,227328,846,54.2,0.09747043251991272,0.1850588023662567,2.2192587852478027
112,229376,846,51.4,0.038473181426525116,0.11145519465208054,2.2706282138824463
113,231424,846,55.18181818181818,0.1537112295627594,0.36485055088996887,2.235621452331543
114,233472,846,57.5,0.10900174081325531,0.10590115189552307,2.1962857246398926
115,235520,847,56.9,0.1886119842529297,0.14608287811279297,2.1788487434387207
